id,created_at,updated_at,created_by,modified_by,name,img_url,county,party,field_status
28,2020-04-16 14:28:23,2020-04-16 14:28:25,1,1,Sen. Haji Mohamed Yusuf,http://www.parliament.go.ke/sites/default/files/2017-10/33e97b31f7f1473b08265f33c8ce0df5_M.jpg,Garissa,JP,Elected
29,2020-04-17 14:28:23,2020-04-17 14:28:25,1,1,Sen. Halake Abshiro Soka,http://www.parliament.go.ke/sites/default/files/2020-07/Sen.%20Abshiro.jpg,Isiolo Delegation,KANU,Nominated
30,2020-04-18 14:28:23,2020-04-18 14:28:25,1,1,Sen. Hargura Godana,http://www.parliament.go.ke/sites/default/files/2017-10/ba357ac7afbad42ac8b25041c150b8d1_M.jpg,Marsabit,JP,Elected
31,2020-04-19 14:28:23,2020-04-19 14:28:25,1,1,Sen. Mbito Michael Maling’a,http://www.parliament.go.ke/sites/default/files/2017-10/e24cfae7f84287c076a251ad29dd373a_M.jpg,Trans Nzoia,JP,Elected
32,2020-04-20 14:28:23,2020-04-20 14:28:25,1,1,Sen. Mogeni Erick Okong’o,http://www.parliament.go.ke/sites/default/files/2017-10/ac07d9048fd094110f394261b5593b54_M.jpg,Nyamira,ODM,Elected
33,2020-04-21 14:28:23,2020-04-21 14:28:25,1,1,Sen. Moi Gideon Kipsielei,http://www.parliament.go.ke/sites/default/files/2017-10/5ff9e7aed4b0e3579983191e3223a3de_M.jpg,Baringo,KANU,Elected
34,2020-04-22 14:28:23,2020-04-22 14:28:25,1,1,Sen. Mpaayei Phillip Salau,http://www.parliament.go.ke/sites/default/files/2020-02/Philip-Salau-Mpaayei_0.jpg,Kajiado,JP,Elected
35,2020-04-23 14:28:23,2020-04-23 14:28:25,1,1,Sen. Mugo Beth Wambui,http://www.parliament.go.ke/sites/default/files/2017-10/55097f9559083383e45911635c552374_M.jpg,Nairobi Delegation,JP,Nominated
36,2020-04-24 14:28:23,2020-04-24 14:28:25,1,1,Sen. Murkomen Onesimus Kipchumba,http://www.parliament.go.ke/sites/default/files/2020-02/Kipchumba-Murkomen-1_0.jpg,Elgeyo Marakwet,JP,Elected
37,2020-04-25 14:28:23,2020-04-25 14:28:25,1,1,Sen. Mwangi Paul Githiomi,http://www.parliament.go.ke/sites/default/files/2017-10/f7067fbd602227e1a142c38a47a74e8c_M.jpg,Nyandarua,JP,Elected
38,2020-04-26 14:28:23,2020-04-26 14:28:25,1,1,Sen. Mwaruma Johnes M,http://www.parliament.go.ke/sites/default/files/2020-02/Sen.%20Johnes%20Mwaruma.jpg,Taita Taveta,ODM,Elected
39,2020-04-27 14:28:23,2020-04-27 14:28:25,1,1,Sen. Mwaura Isaac,http://www.parliament.go.ke/sites/default/files/2020-02/Sen.%20Isaac%20Mwaura.jpg,Kiambu Delegation,JP,Nominated
40,2020-04-28 14:28:23,2020-04-28 14:28:25,1,1,Sen. Mwinyihaji Mohamed,http://www.parliament.go.ke/sites/default/files/2017-10/5cf40067d6708c5b304c99c7d81ad1b6_M.jpg,Mombasa,ODM,Elected
41,2020-04-29 14:28:23,2020-04-29 14:28:25,1,1,Sen. Sakaja Johnson Arthur,http://www.parliament.go.ke/sites/default/files/2020-02/Sen.%20Sakaja.jpeg,Nairobi,JP,Elected
42,2020-04-30 14:28:23,2020-04-30 14:28:25,1,1,Sen. Seneta Mary Yiane,http://www.parliament.go.ke/sites/default/files/2017-10/12aeffefa4c6755e65b4ef913f848251_M.jpg,Kajiado Delegation,JP,Nominated
43,2020-05-01 14:28:23,2020-05-01 14:28:25,1,1,Sen. Wako Sitswila Amos,http://www.parliament.go.ke/sites/default/files/2017-10/16d498f0bc740a6e2490611597bb103d_M.jpg,Busia,ODM,Elected
44,2020-05-02 14:28:23,2020-05-02 14:28:25,1,1,Sen. Wambua Enoch Kiio,http://www.parliament.go.ke/sites/default/files/2017-10/830911234d1f27380eae9a6b119f1fb7_M.jpg,Kitui,WDM-K,Elected
45,2020-05-03 14:28:23,2020-05-03 14:28:25,1,1,Sen. Waqo Naomi Jilo,http://www.parliament.go.ke/sites/default/files/2017-10/b158364f4293dd939f0251be3690d060_M.jpg,Marsabit Delegation,JP,Nominated
